*EXPeriment     = CERN-NA-4                      
*REACtion       = muon P --> muon X 
*Plab           = 100+120+200+280 GeV                                   
*Collaboration  = BCDMS                   
*Author         = Benvenuti et al 
*REFerence      = Phys. Lett. 223B (1989) 485    
*Additional info: The combined energy proton structure function as measured 
*                 by the BCDMS Collaboration in muon-proton deep inelastic 
*                 scattering.
*   x       Q**2      F2            errors          F2           errors 
 0.550    21.50      0.08376   0.00228   0.00197   0.08382  0.00228   0.00197  
 0.550    24.50      0.08632   0.00186   0.00171   0.08638  0.00186   0.00171  
 0.550    28.00      0.08123   0.00150   0.00151   0.08130  0.00150   0.00151  
 0.550    32.50      0.08018   0.00126   0.00180   0.08024  0.00126   0.00180  
 0.550    37.50      0.07995   0.00138   0.00152   0.08003  0.00139   0.00152  
 0.550    43.00      0.07659   0.00105   0.00151   0.07666  0.00105   0.00151  
 0.550    49.50      0.07634   0.00106   0.00133   0.07644  0.00106   0.00133  
 0.550    57.00      0.07501   0.00104   0.00116   0.07512  0.00104   0.00116  
 0.550    65.50      0.07039   0.00106   0.00094   0.07053  0.00106   0.00094  
 0.550    75.00      0.07081   0.00125   0.00090   0.07093  0.00125   0.00090  
 0.550    86.00      0.07083   0.00140   0.00087   0.07099  0.00141   0.00087  
 0.550    99.00      0.06773   0.00153   0.00074   0.06788  0.00153   0.00076  
 0.550   115.50      0.06600   0.00151   0.00066   0.06619  0.00152   0.00066  
 0.550   137.50      0.06734   0.00168   0.00059   0.06763  0.00168   0.00059  
 0.550   175.00      0.05990   0.00273   0.00059   0.06013  0.00274   0.00059  
 0.550   230.00      0.06091   0.00366   0.00050   0.06133  0.00369   0.00050  
 0.650    13.25      0.04389   0.00187   0.00480   0.04390  0.00187   0.00480  
 0.650    15.00      0.04264   0.00166   0.00404   0.04265  0.00166   0.00404  
 0.650    17.00      0.04143   0.00140   0.00369   0.04144  0.00140   0.00369  
 0.650    19.00      0.04204   0.00152   0.00324   0.04205  0.00152   0.00324  
 0.650    21.50      0.04048   0.00138   0.00274   0.04050  0.00138   0.00274  
 0.650    24.50      0.04015   0.00107   0.00206   0.04017  0.00107   0.00206  
 0.650    28.00      0.03829   0.00107   0.00175   0.03831  0.00107   0.00175  
 0.650    32.50      0.03738   0.00077   0.00206   0.03740  0.00077   0.00208  
 0.650    37.50      0.03653   0.00087   0.00185   0.03656  0.00087   0.00185  
 0.650    43.00      0.03545   0.00066   0.00182   0.03547  0.00066   0.00182  
 0.650    49.50      0.03474   0.00066   0.00159   0.03476  0.00066   0.00159  
 0.650    57.00      0.03307   0.00064   0.00133   0.03310  0.00064   0.00133  
 0.650    65.50      0.03198   0.00068   0.00107   0.03201  0.00068   0.00109  
 0.650    75.00      0.03212   0.00075   0.00092   0.03215  0.00075   0.00092  
 0.650    86.00      0.03227   0.00092   0.00087   0.03231  0.00092   0.00087  
 0.650    99.00      0.03151   0.00097   0.00076   0.03155  0.00097   0.00076  
 0.650   115.50      0.02861   0.00100   0.00061   0.02865  0.00100   0.00061  
 0.650   137.50      0.02878   0.00112   0.00048   0.02884  0.00112   0.00048  
 0.650   175.00      0.02724   0.00189   0.00052   0.02729  0.00189   0.00052  
 0.650   230.00      0.02965   0.00248   0.00047   0.02975  0.00249   0.00047  
 0.750    24.50      0.01357   0.00064   0.00166   0.01357  0.00064   0.00166  
 0.750    28.00      0.01365   0.00068   0.00156   0.01366  0.00068   0.00156  
 0.750    32.50      0.01319   0.00049   0.00130   0.01320  0.00049   0.00130  
 0.750    37.50      0.01180   0.00056   0.00100   0.01180  0.00056   0.00100  
 0.750    43.00      0.01222   0.00034   0.00149   0.01223  0.00034   0.00149  
 0.750    49.50      0.01164   0.00036   0.00126   0.01165  0.00036   0.00126  
 0.750    57.00      0.01113   0.00035   0.00125   0.01113  0.00035   0.00125  
 0.750    65.50      0.01083   0.00039   0.00104   0.01083  0.00039   0.00104  
 0.750    75.00      0.01090   0.00042   0.00094   0.01090  0.00043   0.00094  
 0.750    86.00      0.00991   0.00046   0.00083   0.00992  0.00046   0.00083  
 0.750    99.00      0.00918   0.00048   0.00064   0.00919  0.00048   0.00064  
 0.750   115.50      0.00819   0.00051   0.00054   0.00820  0.00051   0.00054  
 0.750   137.50      0.00909   0.00057   0.00048   0.00910  0.00057   0.00048  
 0.750   175.00      0.00832   0.00098   0.00043   0.00833  0.00098   0.00043  
 0.750   230.00      0.00798   0.00130   0.00028   0.00799  0.00130   0.00028  
